City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Lansing,MI,"Whitmer's pandemic orders were 'necessary,' court finds in denying injunction",Michigan Court of Claims Judge Christopher Murray,Courts,4/30/2020,https://www.detroitnews.com/story/news/local/michigan/2020/04/29/judge-denies-injunction-whitmer-pandemic-stay-at-home-lawsuit/3053820001/,,,,
Lansing,MI,Protesters gather outside Michigan Capitol amid COVID-19 restrictions,,Not sure,4/30/2020,https://www.detroitnews.com/story/news/local/michigan/2020/04/30/protesters-gathering-outside-capitol-amid-covid-19-restrictions/3054911001/,,,,
Indianapolis,IN,Indiana health commisioner signs order to help protect nursing homes form Cronavirus,Indiana Health Commisioner ,Quarantines and forced closures,4/14/2020,https://www.fox19.com/2020/04/14/watch-live-gov-holcomb-gives-update-indianas-coronavirus-response/,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,WI,"Health Officials Report COVID-19 Outbreak at Sheboyan Nursing Facility, Sunny Ridge Nursing & Rehab",Sheboygan County Division of Public Health,Quarantines and forced closures,4/1/2020,https://fox6now.com/2020/04/01/health-officials-report-covid-19-outbreak-at-sheboygan-nursing-facility-1-dead/,,,Brenda Kelley  bjkelleylady@gmail.com,
,,,,,,,,,,
,NH,Outbreak announced at Easter Seals factory,,Quarantines and forced closures,4/17/2020,https://patch.com/new-hampshire/concord-nh/nh-coronavirus-outbreak-announced-easterseals-facility?utm_source=dlvr.it&utm_medium=twitter&utm_term=health%20%26%20fitness&utm_campaign=recirc&utm_content=aol,,,,
,,,,,,,,,,
,NH,NH Coronavirus map and case count,,Quarantines and forced closures,4/17/20,https://www.nytimes.com/interactive/2020/us/new-hampshire-coronavirus-cases.html,,,,
,NH,Gov. Chris Sununu announces stay-at-home order through May 4,Gov. Chris Sununu,Quarantines and forced closures,3/27/2020,https://www.concordmonitor.com/Thursday-update-NH-covid-cases-disease-spread-33554702,,,,
statewide,ND,Gov. Doug Burgum announces new operating protocols for high contact businesses after his statewide order allowing businesses to reopen,Gov. Doug Burgum,Not sure,4/21/2020,,,,,
,NH,"Keep campgrounds closed, say some NH towns",Gov. Chris Sununu,Quarantines and forced closures,4/16/2020,https://www.unionleader.com/news/health/coronavirus/keep-campgrounds-closed-some-towns-tell-governor/article_c3ff45f9-ad14-5282-98a9-fbbfa214ccec.html?block_id=853108,,,,
,NH,Democratic legislators and Gov. Chris Sununu going to court 4/20/20 regarding who controls the spending of federal (public) dollars in the COVID-19 emergency.,,Elected/public officials,4/20/2020,https://www.unionleader.com/opinion/editorials/covid-19-court-fight-dont-let-it-delay-the-states-plans/article_da6419b1-19de-57b7-a9a3-696259d748ac.html,,,,
Statewide,SC,State of emergency delcared via executive order,Gov. Henry McMaster,Not sure,4/7/2020,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-04-27%20FINAL%20Executive%20Order%20No.%202020-29%20-%20New%20State%20of%20Emergency%20Due%20to%20COVID-19%20Pandemic%2C%20Response%2C%20Recovery%2C%20etc..pdf,,,INT,
Statewide,LA,State of emergency delcared via executive order,Gov. John Bel Edwards,Not sure,3/11/2020,https://gov.louisiana.gov/index.cfm/newsroom/detail/2400,,,INT,
Statewide,AR,State of emergency delcared via executive order,Gov. Asa Hutchinson,Not sure,3/11/2020,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03._.pdf,,,INT,
Statewide,TN,State of emergency delcared via executive order,Gov. Bill Lee,Not sure,3/12/2020,https://www.tn.gov/governor/news/2020/3/12/gov--bill-lee-issues-executive-order-declaring-state-of-emergency-in-response-to-covid-19.html,,,INT,
,NH,"Sununu keeps schools closed through the year, urges flexibility on grades",Gov. Chris Sununu,Quarantines and forced closures,4/16/2020,https://www.unionleader.com/news/health/coronavirus/sununu-keeps-schools-closed-through-the-year-urges-flexibility-in-grades/article_3799db48-e3b4-5b64-a924-fa45d5bbd0a6.html?block_id=695277,,,,
,NH,"NH election officials to release guidance week of 4/8 about elections, should the state still be dealing with COVID-19 during the September primaries or the general election in November.",Deputy Secretary of State David Scanlan,Elections,4/8/2020,https://www.unionleader.com/news/politics/granite_status/granite-status-planning-for-elections-in-the-covid-era/article_6cc0ffa2-96ef-533d-8fee-1e41d15cd134.html,,,,
,NH,"Gov. appoints new director of Gov's Office for Emergency Relief and Recovery to handle red tape, inertia",Gov. Chris Sununu,Elected/public officials,4/10/2020,https://www.unionleader.com/news/politics/statehouse_dome/state-house-dome-new-relief-office-directors-priorities-will-be-red-tape-inertia/article_a9da3801-8dbe-5d04-81fc-47e596f0df65.html,,,,
,NH,"organizers of fairs, festivals and other spring and summer events face decisions about what to do.",Renaissance Faire chairman Francisco Marin,Quarantines and forced closures,4/15/2020,https://www.unionleader.com/news/health/coronavirus/coronavirus-leaves-nh-fairs-festivals-in-limbo/article_a2be810f-e065-5d9d-8b4d-c6aabd355d38.html,,,,
Statewide,CO,"Colorado retailers are now able to be open for curbside pickup, as there was a shift from a ""stay at home"" to ""safer at home"" order",Governor Jared Polis ,Elected/public officials,4/26/2020,https://www.denverpost.com/2020/04/26/coronavirus-colorado-stay-at-home-update-covid-19/,,,INT,
statewide,ND,"Gov. Doug Burgum announces new protocols for ""high contact"" businesses after his statewide order to reopen businesses",Gov. Doug Burgum,Not sure,4/21/2020,https://bismarcktribune.com/news/local/health/north-dakota-releases-new-operating-guidelines-for-closed-restricted-businesses/article_f729ec44-0f32-5cc0-aea6-2b2da97a0299.html,,,,
Ft. Lauderdale,FL,Declaration of Emergency Regulations,"Dean J. Trantalis, Mayor of Ft. Lauderdale",Quarantines and forced closures,3/17/ 2020,broward.org/CoronaVirus,,,Peretz Gilberd (perrygilberd@gmail.com),
Broward County,FL,All registered voters in Broward County will recieve vote-by-mail signup forms,"Peter Antonacci, Broward County Supervisor of Elections ",Ballot measures,4/13/2020,All Broward voters will get vote-by-mail signup forms. Elections chief expects surge in interest,Broward County ramping up for expected surge in mail voting for the 2020 elections,,Peretz Gilberd (perrygilberd@gmail.com),
Statewide,FL,Governor DeSantis signals the gradual reopening of Florda,"Ron DeSantis, Govenor of Florida",Quarantines and forced closures,4/28/2020,Miami Herald,,,Peretz Gilberd (perrygilberd@gmail.com),
statewide,ME,State of emergency extended ,Gov. Janet T. Mills,Not sure,4/14/2020,https://www.maine.gov/governor/mills/news/governor-mills-extends-state-civil-emergency-maine-continues-combat-covid-19-2020-04-14,,,INT,
Statewide,VT,State of emergency extended ,Gov. Phil Scott,Not sure,4/10/2020,https://governor.vermont.gov/press-release/governor-phil-scott-extends-state-emergency-vermont,,,INT,
Statewide,NH,State of emergency extended ,Gov. Chris Sununu,Not sure,4/24/2020,https://www.governor.nh.gov/news-media/press-2020/20200424-emergency-orders.htm,,,INT,
Statewide,CT,State of emergency declared,Gov. Ned Lamont,Not sure,3/13/2020,https://www.courant.com/politics/hc-pol-capitol-watch-newsletter-0313-20200313-udbdbu2olfavrfzzecyecpupja-story.html,,,INT,
Statewide,RI,State of emergency declared,Gov. Gina Raimondo,Not sure,3/9/2020,https://www.providencejournal.com/news/20200309/raimondo-declares-state-of-emergency-in-ri-over-coronavirus,,,INT,
Statewide,NY,State of emergency declared,Gov. Andrew Cuomo,Not sure,3/7/2020,https://www.governor.ny.gov/news/novel-coronavirus-briefing-governor-cuomo-declares-state-emergency-contain-spread-virus,,,INT,
Statewide,PA,State of emergency declared,Gov. Tom Wolf,Not sure,3/16/2020,https://www.yorkdispatch.com/story/news/local/2020/03/16/york-county-officials-declare-emergency-offices-closed-non-essential-visitors/5058235002/,,,INT,
Statewide,OH,State of emergency declared,Gov. Dewine,Not sure,3/9/2020,https://governor.ohio.gov/wps/portal/gov/governor/media/news-and-media/signs-emergency-order-regarding-coronavirus-response,,,INT,
Statewide,WV,State of emergency declared,Gov. Jim Justice,Not sure,3/16/2020,https://www.wvpublic.org/post/wva-governor-declares-state-emergency-response-coronavirus-threat#stream/0,,,INT,
Statewide,VA,State of emergency declared,Gov. Ralph Northam,Not sure,3/12/2020,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-51-Declaration-of-a-State-of-Emergency-Due-to-Novel-Coronavirus-(COVID-19).pdf,,,INT,
Statewide,IN,State of emergency declared,Gov. Eric Holcomb,Not sure,3/6/2020,https://www.in.gov/gov/files/20-02ExecutiveOrder(DeclarationofPublicHealthEmergencyforCOVID-19)FINAL.pdf,,,INT,
Statewide,IL,State of emergency declared,Gov. JB Pritzker,Not sure,3/9/2020,https://www.sj-r.com/news/20200309/pritzker-declares-state-of-emergency-for-covid-19,,,INT,
Statewide,KY,State of emergency declared,Gov. Andy Beshear,Not sure,3/6/2020,https://governor.ky.gov/covid19,,,INT,
Statewide,WI,State of emergency declared,Gov. Tony Evers,Not sure,3/12/2020,https://www.wpr.org/evers-declares-public-health-emergency-due-covid-19,,,INT,
Statewide,IA,State of emergency declared,Gov. Reynolds,Not sure,3/17/2020,https://governor.iowa.gov/press-release/gov-reynolds-issues-a-state-of-public-health-disaster-emergency,,,INT,
Statewide,KS,State of emergency declared,Governor Laura Kelly,Not sure,3/12/2020,https://governor.kansas.gov/governor-issues-emergency-declaration-for-covid-19/,,,INT,
Statewide,MD,State of emergency declared,Gov. Larry Hogan,Not sure,3/15/2020,https://governor.maryland.gov/2020/03/15/governor-hogan-issues-emergency-order-to-close-all-maryland-casinos-racetracks-and-simulcast-betting-facilities-to-prevent-the-spread-of-covid-19/,,,INT,
Statewide,ND,State of emergency declared,Governor Doug Burgum,Not sure,3/13/2020,https://www.fmcsa.dot.gov/emergency/north-dakota-state-emergency-executive-order-2020-03,,,INT,
Statewide,OK,State of emergency declared,Gov. Kevin Stitt,Not sure,3/16/2020,https://www.koco.com/article/gov-stitt-declares-state-of-emergency-amid-covid-19-coronavirus-outbreak-confirms-8th-case/31649189,,,INT,
Statewide,TX,State of emergency declared,Governor Abbot,Not sure,3/13/2020,https://www.google.com/search?rlz=1C1CHBF_enUS813US813&ei=7tGpXvHBDYLXtAaR0LqgCA&q=texas+State+of+emergency+COVID&oq=texas+State+of+emergency+COVID&gs_lcp=CgZwc3ktYWIQAzICCAA6BAgAEA06CAgAEAgQBxAeOggIABANEAUQHlDdCFjOGWCpG2gBcAB4AIAB9AGIAcwKkgEFMC42LjKYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjx8KT8q47pAhWCK80KHRGoDoQQ4dUDCAw&uact=5,,,INT,
Statewide,NM,State of emergency declared,Governor Grisham,Not sure,3/23/2020,https://www.governor.state.nm.us/wp-content/uploads/2020/03/COVID-19-DOH-Order-fv.pdf,,,INT,
Statewide,CO,State of emergency declared,Gov. Jared Polis,Not sure,3/10/2020,https://www.thedenverchannel.com/news/national/coronavirus/colorado-governor-declares-state-of-emergency-to-increase-covid-19-testing-implement-paid-sick-leave,,,INT,
Statewide,WY,State of emergency declared,Governor Mark Gordon,Not sure,3/13/2020,https://trib.com/news/state-and-regional/health/governor-declares-state-of-emergency-in-wyoming/article_e1f8e089-0b84-574f-b1af-114f78d734c7.html,,,INT,
Statewide,MT,State of emergency declared,Gov. Steve Bullock,Not sure,3/12/2020,https://dphhs.mt.gov/aboutus/news/2020/stateofemergencydeclared,,,INT,
Statewide,UT,State of emergency declared,Gov. Gary R. Herbert,Not sure,3/6/2020,https://governor.utah.gov/2020/03/06/gov-herbert-declares-state-of-emergency/,,,INT,
Statewide,NV,State of emergency declared,Gov. Steve Sisolak,Not sure,3/20/2020,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-20_-_COVID-19_Declaration_of_Emergency_Directive_003/,,,INT,
Statewide,CA,State of emergency declared,Gov. Grant Newsom,Not sure,3/4/2020,https://www.gov.ca.gov/2020/03/04/governor-newsom-declares-state-of-emergency-to-help-state-prepare-for-broader-spread-of-covid-19/,,,INT,
Statewide,AZ,State of emergency declared,Gov. Doug Ducey,Not sure,3/11/2020,https://azgovernor.gov/governor/news/2020/03/covid-19-declaration-emergency-executive-order,,,INT,
Statewide,OR,State of emergency declared,Gov. Kate Brown,Not sure,3/8/2020,https://www.oregon.gov/newsroom/Pages/NewsDetail.aspx?newsid=36109,,,INT,
Statewide,WA,State of emergency declared,Gov. Jay Inslee,Not sure,2/29/2020,https://www.governor.wa.gov/news-media/inslee-issues-covid-19-emergency-proclamation,,,INT,
Statewide,HI,State of emergency declared,Gov. David Y. Ige,Not sure,3/5/2020,https://governor.hawaii.gov/emergency-proclamations/,,,INT,
Statewide,NC,State of emergency declared,Governor Cooper,Not sure,3/10/2020,https://governor.nc.gov/news/governor-cooper-declares-state-emergency-respond-coronavirus-covid-19,,,INT,
Statewide,FL,State of emergency declared,Gov. Ron DeSantis,Not sure,3/9/2020,https://www.floridadisaster.org/covid19/,,,INT,
Statewide,MS,State of emergency declared,Gov. Tate Reeves,Not sure,3/14/2020,https://www.msema.org/news/governor-reeves-declares-state-of-emergency-due-to-covid-19/,,,INT,
Statewide,ID,State of emergency declared,Governor Brad Little,Not sure,3/13/2020,https://www.google.com/search?rlz=1C1CHBF_enUS813US813&ei=sNSpXtraE8LItQaYwLGQBA&q=idaho+State+of+emergency+COVID&oq=idaho+State+of+emergency+COVID&gs_lcp=CgZwc3ktYWIQA1DnC1jbE2DFFWgAcAB4AIABkgGIAZAFkgEDMC41mAEAoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwja8v3Mro7pAhVCZM0KHRhgDEIQ4dUDCAw&uact=5,,,INT,
